Gene name	Gene stable ID	Mouse gene stable ID	Mouse gene name	Mouse homology type	Zebrafish gene stable ID	Zebrafish gene name	Zebrafish homology type
MT-ND2	ENSG00000198763	ENSMUSG00000064345	mt-Nd2	ortholog_one2one	ENSDARG00000063899	mt-nd2	ortholog_one2one
MT-ND4	ENSG00000198886	ENSMUSG00000064363	mt-Nd4	ortholog_one2one	ENSDARG00000063917	mt-nd4	ortholog_one2one
MT-ND5	ENSG00000198786	ENSMUSG00000064367	mt-Nd5	ortholog_one2one	ENSDARG00000063921	mt-nd5	ortholog_one2one
	ENSG00000277630						
	ENSG00000276197						
Y_RNA	ENSG00000277428						
	ENSG00000271254						
U6	ENSG00000278625						
5S_rRNA	ENSG00000278457						
U1	ENSG00000277374	ENSMUSG00000065881	Gm22866	ortholog_one2many			
Y_RNA	ENSG00000276932						
	ENSG00000278633						
	ENSG00000273748	ENSMUSG00000031590	Frg1	ortholog_one2many	ENSDARG00000056504	frg1	ortholog_one2many
	ENSG00000277196	ENSMUSG00000003526	Prodh	ortholog_one2many	ENSDARG00000086512	prodhb	ortholog_many2many
	ENSG00000277196	ENSMUSG00000003526	Prodh	ortholog_one2many	ENSDARG00000086746	prodha	ortholog_many2many
MAFIP	ENSG00000274847	ENSMUSG00000024175	Tekt4	ortholog_one2many	ENSDARG00000028899	tekt4	ortholog_one2many
RNA5-8SN5	ENSG00000274917	ENSMUSG00002075637	Gm55073	ortholog_one2one			
5_8S_rRNA	ENSG00000278294	ENSMUSG00002075795	Gm54867	ortholog_one2many			
5_8S_rRNA	ENSG00000273730						
	ENSG00000273937						
U6	ENSG00000278793						
	ENSG00000278817	ENSMUSG00000003531	Dgcr6	ortholog_one2many	ENSDARG00000005500	dgcr6	ortholog_one2many
	ENSG00000276017						
U1	ENSG00000275987						
	ENSG00000275661						
	ENSG00000276351	ENSMUSG00002075214	Gm56421	ortholog_one2many			
	ENSG00000276345	ENSMUSG00000037772	Mrpl23	ortholog_one2many	ENSDARG00000045696	mrpl23	ortholog_one2many
U1	ENSG00000275405						
	ENSG00000275063	ENSMUSG00000076646	Ighv2-6-8	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000076670	Ighv3-5	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000095866	Ighv2-4	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000096638	Ighv2-9	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
	ENSG00000275063	ENSMUSG00000094164	Ighv2-3	ortholog_many2many	ENSDARG00000096340	ighv8-2	ortholog_many2many
