Gene stable ID	Gene name	Macaque gene stable ID	Macaque gene name	Macaque homology type
ENSMUSG00000064341	mt-Nd1	ENSMMUG00000028699		ortholog_one2many
ENSMUSG00000064341	mt-Nd1	ENSMMUG00000065372	ND1	ortholog_one2many
ENSMUSG00000064345	mt-Nd2	ENSMMUG00000065356	ND2	ortholog_one2one
ENSMUSG00000064351	mt-Co1	ENSMMUG00000065358	COX1	ortholog_one2one
ENSMUSG00000064354	mt-Co2	ENSMMUG00000065380	COX2	ortholog_one2one
ENSMUSG00000064356	mt-Atp8	ENSMMUG00000065383	ATP8	ortholog_one2one
ENSMUSG00000064357	mt-Atp6	ENSMMUG00000065375	ATP6	ortholog_one2one
ENSMUSG00000064358	mt-Co3	ENSMMUG00000065366	COX3	ortholog_one2one
ENSMUSG00000064360	mt-Nd3	ENSMMUG00000065353	ND3	ortholog_one2one
ENSMUSG00000065947	mt-Nd4l	ENSMMUG00000065379	ND4L	ortholog_one2one
ENSMUSG00000064363	mt-Nd4	ENSMMUG00000065387	ND4	ortholog_one2one
ENSMUSG00000064367	mt-Nd5	ENSMMUG00000065354	ND5	ortholog_one2one
ENSMUSG00000064368	mt-Nd6	ENSMMUG00000065359	ND6	ortholog_one2many
ENSMUSG00000064368	mt-Nd6	ENSMMUG00000062894		ortholog_one2many
ENSMUSG00000064368	mt-Nd6	ENSMMUG00000063316		ortholog_one2many
ENSMUSG00000064368	mt-Nd6	ENSMMUG00000056709		ortholog_one2many
ENSMUSG00000064368	mt-Nd6	ENSMMUG00000063555		ortholog_one2many
ENSMUSG00000064368	mt-Nd6	ENSMMUG00000028672		ortholog_one2many
ENSMUSG00000064368	mt-Nd6	ENSMMUG00000050414		ortholog_one2many
ENSMUSG00000064370	mt-Cytb	ENSMMUG00000065382	CYTB	ortholog_one2one
ENSMUSG00000094915		ENSMMUG00000016575	SP100	ortholog_one2many
ENSMUSG00000079808		ENSMMUG00000012197	SP110	ortholog_one2many
ENSMUSG00000095666		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095666		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095666		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095666		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095666		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095666		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095666		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000095666		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000096680		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000095505		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000094722		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095250		ENSMMUG00000012197	SP110	ortholog_one2many
ENSMUSG00000095728		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095728		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095728		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095728		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095728		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095728		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095728		ENSMMUG00000054892		ortholog_many2many
ENSMUSG00000095728		ENSMMUG00000056227		ortholog_many2many
ENSMUSG00000095076		ENSMMUG00000057550		ortholog_many2many
ENSMUSG00000095076		ENSMMUG00000055233		ortholog_many2many
ENSMUSG00000095076		ENSMMUG00000056436	PRAMEF12	ortholog_many2many
ENSMUSG00000095076		ENSMMUG00000054309		ortholog_many2many
ENSMUSG00000095076		ENSMMUG00000058440		ortholog_many2many
ENSMUSG00000095076		ENSMMUG00000058407		ortholog_many2many
ENSMUSG00000095076		ENSMMUG00000054892		ortholog_many2many
