,Gene name,White-tufted-ear marmoset gene name,White-tufted-ear marmoset homology type,Macaque gene name,Macaque homology type
0,mt-Nd2,,,ND2,ortholog_one2one
1,mt-Nd4,,,ND4,ortholog_one2one
2,mt-Nd5,,,ND5,ortholog_one2one
3,,,,,
4,,,ortholog_one2many,,ortholog_many2many
5,,,ortholog_one2many,,ortholog_many2many
6,,,ortholog_one2many,PRAMEF12,ortholog_many2many
7,,,ortholog_one2many,,ortholog_many2many
8,,,ortholog_one2many,,ortholog_many2many
9,,,ortholog_one2many,,ortholog_many2many
10,,,ortholog_one2many,,ortholog_many2many
11,,,ortholog_one2many,,ortholog_many2many
12,,,ortholog_one2many,,ortholog_many2many
13,,,ortholog_one2many,,ortholog_many2many
14,,,ortholog_one2many,PRAMEF12,ortholog_many2many
15,,,ortholog_one2many,,ortholog_many2many
16,,,ortholog_one2many,,ortholog_many2many
17,,,ortholog_one2many,,ortholog_many2many
18,,,ortholog_one2many,,ortholog_many2many
19,,,ortholog_one2many,,ortholog_many2many
20,Vmn1r186,,,,
21,,,,,
22,,,ortholog_one2many,,ortholog_many2many
23,,,ortholog_one2many,,ortholog_many2many
24,,,ortholog_one2many,PRAMEF12,ortholog_many2many
25,,,ortholog_one2many,,ortholog_many2many
26,,,ortholog_one2many,,ortholog_many2many
27,,,ortholog_one2many,,ortholog_many2many
28,,,ortholog_one2many,,ortholog_many2many
29,,,ortholog_one2many,,ortholog_many2many
30,,,ortholog_one2many,,ortholog_many2many
31,,,ortholog_one2many,,ortholog_many2many
32,,,ortholog_one2many,PRAMEF12,ortholog_many2many
33,,,ortholog_one2many,,ortholog_many2many
34,,,ortholog_one2many,,ortholog_many2many
35,,,ortholog_one2many,,ortholog_many2many
36,,,ortholog_one2many,,ortholog_many2many
37,,,ortholog_one2many,,ortholog_many2many
38,,SP110,ortholog_one2many,SP110,ortholog_one2many
39,,,ortholog_one2many,,ortholog_many2many
40,,,ortholog_one2many,,ortholog_many2many
41,,,ortholog_one2many,PRAMEF12,ortholog_many2many
42,,,ortholog_one2many,,ortholog_many2many
43,,,ortholog_one2many,,ortholog_many2many
44,,,ortholog_one2many,,ortholog_many2many
45,,,ortholog_one2many,,ortholog_many2many
46,,,ortholog_one2many,,ortholog_many2many
47,,,,,
48,,,ortholog_one2many,,ortholog_many2many
49,,,ortholog_one2many,,ortholog_many2many
50,,,ortholog_one2many,PRAMEF12,ortholog_many2many
51,,,ortholog_one2many,,ortholog_many2many
52,,,ortholog_one2many,,ortholog_many2many
53,,,ortholog_one2many,,ortholog_many2many
54,,,ortholog_one2many,,ortholog_many2many
55,,,ortholog_one2many,,ortholog_many2many
56,,,ortholog_one2many,,ortholog_many2many
57,,,ortholog_one2many,,ortholog_many2many
58,,,ortholog_one2many,PRAMEF12,ortholog_many2many
59,,,ortholog_one2many,,ortholog_many2many
60,,,ortholog_one2many,,ortholog_many2many
61,,,ortholog_one2many,,ortholog_many2many
62,,,ortholog_one2many,,ortholog_many2many
63,,,ortholog_one2many,,ortholog_many2many
64,,,,,
65,,SP110,ortholog_one2many,SP110,ortholog_one2many
66,,,,,
67,,,ortholog_one2many,,ortholog_many2many
68,,,ortholog_one2many,,ortholog_many2many
69,,,ortholog_one2many,PRAMEF12,ortholog_many2many
70,,,ortholog_one2many,,ortholog_many2many
71,,,ortholog_one2many,,ortholog_many2many
72,,,ortholog_one2many,,ortholog_many2many
73,,,ortholog_one2many,,ortholog_many2many
74,,,ortholog_one2many,,ortholog_many2many
75,,,,,
76,,,ortholog_one2many,,ortholog_many2many
77,,,ortholog_one2many,,ortholog_many2many
78,,,ortholog_one2many,PRAMEF12,ortholog_many2many
79,,,ortholog_one2many,,ortholog_many2many
80,,,ortholog_one2many,,ortholog_many2many
81,,,ortholog_one2many,,ortholog_many2many
82,,,ortholog_one2many,,ortholog_many2many
83,,,ortholog_one2many,,ortholog_many2many
84,,SP110,ortholog_one2many,SP110,ortholog_one2many
85,,,,,
86,,,ortholog_one2many,,ortholog_many2many
87,,,ortholog_one2many,,ortholog_many2many
88,,,ortholog_one2many,PRAMEF12,ortholog_many2many
89,,,ortholog_one2many,,ortholog_many2many
90,,,ortholog_one2many,,ortholog_many2many
91,,,ortholog_one2many,,ortholog_many2many
92,,,ortholog_one2many,,ortholog_many2many
93,,,ortholog_one2many,,ortholog_many2many
94,,,,,
95,,,ortholog_one2many,,ortholog_many2many
96,,,ortholog_one2many,,ortholog_many2many
97,,,ortholog_one2many,PRAMEF12,ortholog_many2many
98,,,ortholog_one2many,,ortholog_many2many
99,,,ortholog_one2many,,ortholog_many2many
100,,,ortholog_one2many,,ortholog_many2many
101,,,ortholog_one2many,,ortholog_many2many
102,,,ortholog_one2many,,ortholog_many2many
103,Csprs,,,,
104,,,ortholog_one2many,,ortholog_many2many
105,,,ortholog_one2many,,ortholog_many2many
106,,,ortholog_one2many,PRAMEF12,ortholog_many2many
107,,,ortholog_one2many,,ortholog_many2many
108,,,ortholog_one2many,,ortholog_many2many
109,,,ortholog_one2many,,ortholog_many2many
110,,,ortholog_one2many,,ortholog_many2many
111,,,ortholog_one2many,,ortholog_many2many
112,Gm16367,,ortholog_one2many,,ortholog_many2many
113,Gm16367,,ortholog_one2many,,ortholog_many2many
114,Gm16367,,ortholog_one2many,PRAMEF12,ortholog_many2many
115,Gm16367,,ortholog_one2many,,ortholog_many2many
116,Gm16367,,ortholog_one2many,,ortholog_many2many
117,Gm16367,,ortholog_one2many,,ortholog_many2many
118,Gm16367,,ortholog_one2many,,ortholog_many2many
119,Gm16367,,ortholog_one2many,,ortholog_many2many
120,,,ortholog_one2many,,ortholog_many2many
121,,,ortholog_one2many,,ortholog_many2many
122,,,ortholog_one2many,PRAMEF12,ortholog_many2many
123,,,ortholog_one2many,,ortholog_many2many
124,,,ortholog_one2many,,ortholog_many2many
125,,,ortholog_one2many,,ortholog_many2many
126,,,ortholog_one2many,,ortholog_many2many
127,,,ortholog_one2many,,ortholog_many2many
128,,,ortholog_one2many,,ortholog_many2many
129,,,ortholog_one2many,,ortholog_many2many
130,,,ortholog_one2many,PRAMEF12,ortholog_many2many
131,,,ortholog_one2many,,ortholog_many2many
132,,,ortholog_one2many,,ortholog_many2many
133,,,ortholog_one2many,,ortholog_many2many
134,,,ortholog_one2many,,ortholog_many2many
135,,,ortholog_one2many,,ortholog_many2many
136,,,ortholog_one2many,,ortholog_many2many
137,,,ortholog_one2many,,ortholog_many2many
138,,,ortholog_one2many,PRAMEF12,ortholog_many2many
139,,,ortholog_one2many,,ortholog_many2many
140,,,ortholog_one2many,,ortholog_many2many
141,,,ortholog_one2many,,ortholog_many2many
142,,,ortholog_one2many,,ortholog_many2many
143,,,ortholog_one2many,,ortholog_many2many
144,,,ortholog_one2many,,ortholog_many2many
145,,,ortholog_one2many,,ortholog_many2many
146,,,ortholog_one2many,PRAMEF12,ortholog_many2many
147,,,ortholog_one2many,,ortholog_many2many
148,,,ortholog_one2many,,ortholog_many2many
149,,,ortholog_one2many,,ortholog_many2many
150,,,ortholog_one2many,,ortholog_many2many
151,,,ortholog_one2many,,ortholog_many2many
152,,,ortholog_one2many,,ortholog_many2many
153,,,ortholog_one2many,,ortholog_many2many
154,,,ortholog_one2many,PRAMEF12,ortholog_many2many
155,,,ortholog_one2many,,ortholog_many2many
156,,,ortholog_one2many,,ortholog_many2many
157,,,ortholog_one2many,,ortholog_many2many
158,,,ortholog_one2many,,ortholog_many2many
159,,,ortholog_one2many,,ortholog_many2many
160,,,ortholog_one2many,,ortholog_many2many
161,,,ortholog_one2many,,ortholog_many2many
162,,,ortholog_one2many,PRAMEF12,ortholog_many2many
163,,,ortholog_one2many,,ortholog_many2many
164,,,ortholog_one2many,,ortholog_many2many
165,,,ortholog_one2many,,ortholog_many2many
166,,,ortholog_one2many,,ortholog_many2many
167,,,ortholog_one2many,,ortholog_many2many
168,,,ortholog_one2many,,ortholog_many2many
169,,,ortholog_one2many,,ortholog_many2many
170,,,ortholog_one2many,PRAMEF12,ortholog_many2many
171,,,ortholog_one2many,,ortholog_many2many
172,,,ortholog_one2many,,ortholog_many2many
173,,,ortholog_one2many,,ortholog_many2many
174,,,ortholog_one2many,,ortholog_many2many
175,,,ortholog_one2many,,ortholog_many2many
176,,,ortholog_one2many,,ortholog_many2many
177,,,ortholog_one2many,,ortholog_many2many
178,,,ortholog_one2many,PRAMEF12,ortholog_many2many
179,,,ortholog_one2many,,ortholog_many2many
180,,,ortholog_one2many,,ortholog_many2many
181,,,ortholog_one2many,,ortholog_many2many
182,,,ortholog_one2many,,ortholog_many2many
183,,,ortholog_one2many,,ortholog_many2many
184,,,,SP100,ortholog_one2many
185,,,ortholog_one2many,,ortholog_many2many
186,,,ortholog_one2many,,ortholog_many2many
187,,,ortholog_one2many,PRAMEF12,ortholog_many2many
188,,,ortholog_one2many,,ortholog_many2many
189,,,ortholog_one2many,,ortholog_many2many
190,,,ortholog_one2many,,ortholog_many2many
191,,,ortholog_one2many,,ortholog_many2many
192,,,ortholog_one2many,,ortholog_many2many
193,,SP110,ortholog_one2many,SP110,ortholog_one2many
194,,SP110,ortholog_one2many,SP110,ortholog_one2many
195,,,,,
196,,,ortholog_one2many,,ortholog_many2many
197,,,ortholog_one2many,,ortholog_many2many
198,,,ortholog_one2many,PRAMEF12,ortholog_many2many
199,,,ortholog_one2many,,ortholog_many2many
200,,,ortholog_one2many,,ortholog_many2many
201,,,ortholog_one2many,,ortholog_many2many
202,,,ortholog_one2many,,ortholog_many2many
203,,,ortholog_one2many,,ortholog_many2many
204,,,,,
205,,,ortholog_one2many,,ortholog_many2many
206,,,ortholog_one2many,,ortholog_many2many
207,,,ortholog_one2many,PRAMEF12,ortholog_many2many
208,,,ortholog_one2many,,ortholog_many2many
209,,,ortholog_one2many,,ortholog_many2many
210,,,ortholog_one2many,,ortholog_many2many
211,,,ortholog_one2many,,ortholog_many2many
212,,,ortholog_one2many,,ortholog_many2many
213,,SP110,ortholog_one2many,SP110,ortholog_one2many
214,,,,,
215,,,,SP100,ortholog_one2many
216,,,,,
