Gene name	White-tufted-ear marmoset gene name	White-tufted-ear marmoset homology type	Macaque gene name	Macaque homology type
mt-Nd2			ND2	ortholog_one2one
mt-Nd4			ND4	ortholog_one2one
mt-Nd5			ND5	ortholog_one2one
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
Vmn1r186				
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
	SP110	ortholog_one2many	SP110	ortholog_one2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
				
	SP110	ortholog_one2many	SP110	ortholog_one2many
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
	SP110	ortholog_one2many	SP110	ortholog_one2many
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
Csprs				
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
Gm16367		ortholog_one2many		ortholog_many2many
Gm16367		ortholog_one2many		ortholog_many2many
Gm16367		ortholog_one2many	PRAMEF12	ortholog_many2many
Gm16367		ortholog_one2many		ortholog_many2many
Gm16367		ortholog_one2many		ortholog_many2many
Gm16367		ortholog_one2many		ortholog_many2many
Gm16367		ortholog_one2many		ortholog_many2many
Gm16367		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many	PRAMEF12	ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
		ortholog_one2many		ortholog_many2many
