Gene stable ID	Gene name	Zebrafish gene stable ID	Zebrafish gene name	Zebrafish homology type
ENSMUSG00000064341	mt-Nd1	ENSDARG00000063895	mt-nd1	ortholog_one2one
ENSMUSG00000064345	mt-Nd2	ENSDARG00000063899	mt-nd2	ortholog_one2one
ENSMUSG00000064351	mt-Co1	ENSDARG00000063905	mt-co1	ortholog_one2one
ENSMUSG00000064354	mt-Co2	ENSDARG00000063908	mt-co2	ortholog_one2one
ENSMUSG00000064357	mt-Atp6	ENSDARG00000063911	mt-atp6	ortholog_one2one
ENSMUSG00000064358	mt-Co3	ENSDARG00000063912	mt-co3	ortholog_one2one
ENSMUSG00000064360	mt-Nd3	ENSDARG00000063914	mt-nd3	ortholog_one2one
ENSMUSG00000064363	mt-Nd4	ENSDARG00000063917	mt-nd4	ortholog_one2one
ENSMUSG00000064367	mt-Nd5	ENSDARG00000063921	mt-nd5	ortholog_one2one
ENSMUSG00000064368	mt-Nd6	ENSDARG00000063922	mt-nd6	ortholog_one2one
ENSMUSG00000064370	mt-Cytb	ENSDARG00000063924	mt-cyb	ortholog_one2one
ENSMUSG00000094722		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094915		ENSDARG00000035066	ubtf	ortholog_many2many
ENSMUSG00000094915		ENSDARG00000038780	ubtfl	ortholog_many2many
ENSMUSG00000095041		ENSDARG00000052462	pisd	ortholog_one2many
ENSMUSG00000094741		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000095666		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094836		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094303		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000074720		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000096236		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000096680		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094383		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000096756		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094337		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000095505		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094474		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000095570		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094791		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000096728		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094514		ENSDARG00000035066	ubtf	ortholog_many2many
ENSMUSG00000094514		ENSDARG00000038780	ubtfl	ortholog_many2many
ENSMUSG00000096550	Gm16367	ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094172		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094887		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000091585		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000095763		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000095523		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000095475		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000094855		ENSDARG00000036493		ortholog_one2many
ENSMUSG00000095634	Gm20816	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000100032	Gm20817	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100535	Gm20870	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099782	Gm20903	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000101157	Gm20905	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094575	Gm20738	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000101146	Gm20814	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100902	Gm20850	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000100892	Gm20897	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000096898	Gm20867	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000094739	Gm20806	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000101471	Gm29276	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000095650	Gm20854	ENSDARG00000035697	spinb	ortholog_one2many
ENSMUSG00000100240	Gm20820	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000102122	Gm20883	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000099856	Gm20906	ENSDARG00000013438	sycp3	ortholog_one2many
ENSMUSG00000094729	Gm20747	ENSDARG00000035697	spinb	ortholog_one2many
