Gene name	Human gene name	Human homology type
	PGBD2	ortholog_one2many
U6	RNU6-1205P	ortholog_one2many
ZNF692	ZNF692	ortholog_one2one
ZNF672	ZNF672	ortholog_one2one
SH3BP5L	SH3BP5L	ortholog_one2one
LYPD8	LYPD8	ortholog_one2one
OR2T27	OR2T27	ortholog_one2one
	OR2T2	ortholog_many2many
	OR2T35	ortholog_many2many
Y_RNA	Y_RNA	ortholog_one2one
OR2T10	OR2T10	ortholog_one2one
	OR2G6	ortholog_one2one
OR14I1	OR14I1	ortholog_one2one
OR9G1	OR9G1	ortholog_one2one
	OR2T5	ortholog_one2many
	OR2T29	ortholog_one2many
	OR2T4	ortholog_one2many
	OR2T2	ortholog_many2many
	OR2T35	ortholog_many2many
OR2T1	OR2T1	ortholog_one2one
OR2T6	OR2T6	ortholog_one2one
	OR2M2	ortholog_one2many
	OR2M7	ortholog_one2many
	OR2M3	ortholog_one2many
	OR2M5	ortholog_one2many
OR2M4	OR2M4	ortholog_one2one
	OR2T12	ortholog_many2many
	OR2T33	ortholog_many2many
	OR2T8	ortholog_many2many
	OR2L13	ortholog_one2many
	OR2L3	ortholog_many2many
	OR2L8	ortholog_many2many
Y_RNA	Y_RNA	ortholog_one2one
OR2L2	OR2L2	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
OR2L5	OR2L5	ortholog_one2one
	OR2L3	ortholog_many2many
	OR2L8	ortholog_many2many
Y_RNA	Y_RNA	ortholog_one2one
	OR2L13	ortholog_one2many
	OR2L3	ortholog_many2many
	OR2L8	ortholog_many2many
	OR2T12	ortholog_many2many
	OR2T33	ortholog_many2many
	OR2T8	ortholog_many2many
OR2W3	OR2W3	ortholog_one2one
TRIM58	TRIM58	ortholog_one2one
OR11L1	OR11L1	ortholog_one2one
OR9H1P	OR9H1P	ortholog_one2one
OR1C1	OR1C1	ortholog_one2one
OR14K1	OR14K1	ortholog_one2one
OR14A2	OR14A2	ortholog_one2one
OR6F1	OR6F1	ortholog_one2one
OR13G1	OR13G1	ortholog_one2one
GCSAML	GCSAML	ortholog_one2one
OR2C3	OR2C3	ortholog_one2one
OR2B11	OR2B11	ortholog_one2one
NLRP3	NLRP3	ortholog_one2one
ZNF496	ZNF496	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
ZNF124	ZNF124	ortholog_one2one
	ZNF669	ortholog_one2many
ZNF670	ZNF670	ortholog_one2one
Metazoa_SRP	Metazoa_SRP	ortholog_one2one
AHCTF1	AHCTF1	ortholog_one2one
SCCPDH	SCCPDH	ortholog_one2one
5S_rRNA	RNA5S15	ortholog_one2one
U6	RNU6-152P	ortholog_one2one
Metazoa_SRP	RN7SL299P	ortholog_one2one
5S_rRNA	RNA5S4	ortholog_one2one
5S_rRNA	RNA5S3	ortholog_one2one
U6	RNU6-151P	ortholog_one2one
U1	RNVU1-21	ortholog_one2one
Y_RNA	Y_RNA	ortholog_one2one
Metazoa_SRP	RN7SL372P	ortholog_one2one
U6	RNU6-753P	ortholog_one2one
